,no_of_images,ch_in,dim_in_row,dim_in_column,ch_out,dim_out_row,dim_out_column,filter_row,filter_column,feature_map_memory,filter_coefficient_memory,macs,comp,activation,input_map_bytes,output_map_bytes,fitler_coeff_bytes,input_map_location,output_map_location,fitler_location,input_data_movement*1000000.0,output_data_movement*1000000.0,filter_data_movement*1000000.0,total_data_movement*1000000.0,matrix_compute_time*1000000.0,vector_compute_time*1000000.0,total_compute_time*1000000.0,serial*1000000.0,parallel*1000000.0
InceptionV3/InceptionV3/Mixed_6a/Branch_1/Conv2d_1a_1x1/BiasAdd,10.0,96.0,12.0,12.0,96.0,12.0,12.0,0.0,0.0,27648.0,96.0,0.0,13824.0,13824.0,13824.0,13824.0,96.0,0.0,0.0,1.0,0.0,0.0,0.0096,0.0096,0.0,0.0,0.0,0.0096,0.0096
InceptionV3/InceptionV3/Mixed_6a/Branch_1/Conv2d_1a_1x1/Relu,10.0,96.0,12.0,12.0,96.0,12.0,12.0,0.0,0.0,27648.0,96.0,0.0,13824.0,13824.0,13824.0,13824.0,96.0,0.0,0.0,1.0,0.0,0.0,0.0096,0.0096,0.0,0.0,0.0,0.0096,0.0096
InceptionV3/Mixed_6a/Branch_2/MaxPool_1a_3x3/,10.0,96.0,12.0,12.0,288.0,12.0,12.0,3.0,3.0,55296.0,249120.0,35831810.0,13824.0,41472.0,13824.0,41472.0,249120.0,0.0,0.0,1.0,0.0,0.0,24.912,24.912,0.0,35831.81,35831.81,35856.72,35831.81
InceptionV3/Mixed_6b/Branch_0/Conv2d_0a_1x1/,10.0,288.0,12.0,12.0,192.0,12.0,12.0,1.0,1.0,69120.0,55488.0,7962624.0,41472.0,27648.0,41472.0,27648.0,55488.0,0.0,0.0,1.0,0.0,0.0,5.5488,5.5488,663.552,0.0,663.552,669.1008,663.552
InceptionV3/InceptionV3/Mixed_6b/Branch_0/Conv2d_0a_1x1/BiasAdd,10.0,192.0,12.0,12.0,192.0,12.0,12.0,0.0,0.0,55296.0,192.0,0.0,27648.0,27648.0,27648.0,27648.0,192.0,0.0,0.0,1.0,0.0,0.0,0.0192,0.0192,0.0,0.0,0.0,0.0192,0.0192
InceptionV3/InceptionV3/Mixed_6b/Branch_0/Conv2d_0a_1x1/Relu,10.0,192.0,12.0,12.0,192.0,12.0,12.0,0.0,0.0,55296.0,192.0,0.0,27648.0,27648.0,27648.0,27648.0,192.0,0.0,0.0,1.0,0.0,0.0,0.0192,0.0192,0.0,0.0,0.0,0.0192,0.0192
InceptionV3/Mixed_6b/Branch_1/Conv2d_0a_1x1/,10.0,192.0,12.0,12.0,128.0,12.0,12.0,1.0,1.0,46080.0,24704.0,3538944.0,27648.0,18432.0,27648.0,18432.0,24704.0,0.0,0.0,1.0,0.0,0.0,2.4704,2.4704,294.912,0.0,294.912,297.3824,294.912
InceptionV3/InceptionV3/Mixed_6b/Branch_1/Conv2d_0a_1x1/BiasAdd,10.0,128.0,12.0,12.0,128.0,12.0,12.0,0.0,0.0,36864.0,128.0,0.0,18432.0,18432.0,18432.0,18432.0,128.0,0.0,0.0,1.0,0.0,0.0,0.0128,0.0128,0.0,0.0,0.0,0.0128,0.0128
InceptionV3/InceptionV3/Mixed_6b/Branch_1/Conv2d_0a_1x1/Relu,10.0,128.0,12.0,12.0,128.0,12.0,12.0,0.0,0.0,36864.0,128.0,0.0,18432.0,18432.0,18432.0,18432.0,128.0,0.0,0.0,1.0,0.0,0.0,0.0128,0.0128,0.0,0.0,0.0,0.0128,0.0128
InceptionV3/Mixed_6b/Branch_1/Conv2d_0b_1x7/,10.0,128.0,12.0,12.0,128.0,12.0,12.0,1.0,7.0,36864.0,114816.0,16515072.0,18432.0,18432.0,18432.0,18432.0,114816.0,0.0,0.0,1.0,0.0,0.0,11.4816,11.4816,1376.256,0.0,1376.256,1387.7375,1376.256
InceptionV3/InceptionV3/Mixed_6b/Branch_1/Conv2d_0b_1x7/BiasAdd,10.0,128.0,12.0,12.0,128.0,12.0,12.0,0.0,0.0,36864.0,128.0,0.0,18432.0,18432.0,18432.0,18432.0,128.0,0.0,0.0,1.0,0.0,0.0,0.0128,0.0128,0.0,0.0,0.0,0.0128,0.0128
InceptionV3/InceptionV3/Mixed_6b/Branch_1/Conv2d_0b_1x7/Relu,10.0,128.0,12.0,12.0,128.0,12.0,12.0,0.0,0.0,36864.0,128.0,0.0,18432.0,18432.0,18432.0,18432.0,128.0,0.0,0.0,1.0,0.0,0.0,0.0128,0.0128,0.0,0.0,0.0,0.0128,0.0128
InceptionV3/Mixed_6b/Branch_1/Conv2d_0c_7x1/,10.0,128.0,12.0,12.0,192.0,12.0,12.0,7.0,1.0,46080.0,172224.0,24772608.0,18432.0,27648.0,18432.0,27648.0,172224.0,0.0,0.0,1.0,0.0,0.0,17.2224,17.2224,2064.384,0.0,2064.384,2081.6064,2064.384
InceptionV3/InceptionV3/Mixed_6b/Branch_1/Conv2d_0c_7x1/BiasAdd,10.0,192.0,12.0,12.0,192.0,12.0,12.0,0.0,0.0,55296.0,192.0,0.0,27648.0,27648.0,27648.0,27648.0,192.0,0.0,0.0,1.0,0.0,0.0,0.0192,0.0192,0.0,0.0,0.0,0.0192,0.0192
InceptionV3/InceptionV3/Mixed_6b/Branch_1/Conv2d_0c_7x1/Relu,10.0,192.0,12.0,12.0,192.0,12.0,12.0,0.0,0.0,55296.0,192.0,0.0,27648.0,27648.0,27648.0,27648.0,192.0,0.0,0.0,1.0,0.0,0.0,0.0192,0.0192,0.0,0.0,0.0,0.0192,0.0192
InceptionV3/Mixed_6b/Branch_2/Conv2d_0a_1x1/,10.0,192.0,12.0,12.0,128.0,12.0,12.0,1.0,1.0,46080.0,24704.0,3538944.0,27648.0,18432.0,27648.0,18432.0,24704.0,0.0,0.0,1.0,0.0,0.0,2.4704,2.4704,294.912,0.0,294.912,297.3824,294.912
InceptionV3/InceptionV3/Mixed_6b/Branch_2/Conv2d_0a_1x1/BiasAdd,10.0,128.0,12.0,12.0,128.0,12.0,12.0,0.0,0.0,36864.0,128.0,0.0,18432.0,18432.0,18432.0,18432.0,128.0,0.0,0.0,1.0,0.0,0.0,0.0128,0.0128,0.0,0.0,0.0,0.0128,0.0128
InceptionV3/InceptionV3/Mixed_6b/Branch_2/Conv2d_0a_1x1/Relu,10.0,128.0,12.0,12.0,128.0,12.0,12.0,0.0,0.0,36864.0,128.0,0.0,18432.0,18432.0,18432.0,18432.0,128.0,0.0,0.0,1.0,0.0,0.0,0.0128,0.0128,0.0,0.0,0.0,0.0128,0.0128
InceptionV3/Mixed_6b/Branch_2/Conv2d_0b_7x1/,10.0,128.0,12.0,12.0,128.0,12.0,12.0,7.0,1.0,36864.0,114816.0,16515072.0,18432.0,18432.0,18432.0,18432.0,114816.0,0.0,0.0,1.0,0.0,0.0,11.4816,11.4816,1376.256,0.0,1376.256,1387.7375,1376.256
InceptionV3/InceptionV3/Mixed_6b/Branch_2/Conv2d_0b_7x1/BiasAdd,10.0,128.0,12.0,12.0,128.0,12.0,12.0,0.0,0.0,36864.0,128.0,0.0,18432.0,18432.0,18432.0,18432.0,128.0,0.0,0.0,1.0,0.0,0.0,0.0128,0.0128,0.0,0.0,0.0,0.0128,0.0128
