,no_of_images,ch_in,dim_in_row,dim_in_column,ch_out,dim_out_row,dim_out_column,filter_row,filter_column,feature_map_memory,filter_coefficient_memory,macs,comp,activation,input_map_bytes,output_map_bytes,fitler_coeff_bytes,input_map_location,output_map_location,fitler_location,input_data_movement*1000000.0,output_data_movement*1000000.0,filter_data_movement*1000000.0,total_data_movement*1000000.0,matrix_compute_time*1000000.0,vector_compute_time*1000000.0,total_compute_time*1000000.0,serial*1000000.0,parallel*1000000.0
InceptionV3/Mixed_6a/Branch_0/Conv2d_1a_1x1/,10.0,64.0,25.0,25.0,384.0,12.0,12.0,3.0,3.0,280000.0,221568.0,138240000.0,40000.0,55296.0,40000.0,55296.0,221568.0,0.0,0.0,1.0,0.0,0.0,22.1568,22.1568,5529.6,0.0,5529.6,5551.757,5529.6
InceptionV3/InceptionV3/Mixed_6a/Branch_0/Conv2d_1a_1x1/BiasAdd,10.0,384.0,12.0,12.0,384.0,12.0,12.0,0.0,0.0,110592.0,384.0,0.0,55296.0,55296.0,55296.0,55296.0,384.0,0.0,0.0,1.0,0.0,0.0,0.0384,0.0384,0.0,0.0,0.0,0.0384,0.0384
InceptionV3/InceptionV3/Mixed_6a/Branch_0/Conv2d_1a_1x1/Relu,10.0,384.0,12.0,12.0,384.0,12.0,12.0,0.0,0.0,110592.0,384.0,0.0,55296.0,55296.0,55296.0,55296.0,384.0,0.0,0.0,1.0,0.0,0.0,0.0384,0.0384,0.0,0.0,0.0,0.0384,0.0384
InceptionV3/Mixed_6a/Branch_1/Conv2d_0a_1x1/,10.0,384.0,12.0,12.0,64.0,25.0,25.0,1.0,1.0,64512.0,24640.0,3538944.0,55296.0,40000.0,55296.0,40000.0,24640.0,0.0,0.0,1.0,0.0,0.0,2.464,2.464,294.912,0.0,294.912,297.376,294.912
InceptionV3/InceptionV3/Mixed_6a/Branch_1/Conv2d_0a_1x1/BiasAdd,10.0,64.0,25.0,25.0,64.0,25.0,25.0,0.0,0.0,80000.0,64.0,0.0,40000.0,40000.0,40000.0,40000.0,64.0,0.0,0.0,1.0,0.0,0.0,0.0064,0.0064,0.0,0.0,0.0,0.0064,0.0064
InceptionV3/InceptionV3/Mixed_6a/Branch_1/Conv2d_0a_1x1/Relu,10.0,64.0,25.0,25.0,64.0,25.0,25.0,0.0,0.0,80000.0,64.0,0.0,40000.0,40000.0,40000.0,40000.0,64.0,0.0,0.0,1.0,0.0,0.0,0.0064,0.0064,0.0,0.0,0.0,0.0064,0.0064
InceptionV3/Mixed_6a/Branch_1/Conv2d_0b_3x3/,10.0,64.0,25.0,25.0,96.0,25.0,25.0,3.0,3.0,100000.0,55392.0,34560000.0,40000.0,60000.0,40000.0,60000.0,55392.0,0.0,0.0,1.0,0.0,0.0,5.5392,5.5392,1382.4,0.0,1382.4,1387.9392,1382.4
InceptionV3/InceptionV3/Mixed_6a/Branch_1/Conv2d_0b_3x3/BiasAdd,10.0,96.0,25.0,25.0,96.0,25.0,25.0,0.0,0.0,120000.0,96.0,0.0,60000.0,60000.0,60000.0,60000.0,96.0,0.0,0.0,1.0,0.0,0.0,0.0096,0.0096,0.0,0.0,0.0,0.0096,0.0096
InceptionV3/InceptionV3/Mixed_6a/Branch_1/Conv2d_0b_3x3/Relu,10.0,96.0,25.0,25.0,96.0,25.0,25.0,0.0,0.0,120000.0,96.0,0.0,60000.0,60000.0,60000.0,60000.0,96.0,0.0,0.0,1.0,0.0,0.0,0.0096,0.0096,0.0,0.0,0.0,0.0096,0.0096
InceptionV3/Mixed_6a/Branch_1/Conv2d_1a_1x1/,10.0,96.0,25.0,25.0,96.0,12.0,12.0,3.0,3.0,120000.0,83040.0,51840000.0,60000.0,13824.0,60000.0,13824.0,83040.0,0.0,0.0,1.0,0.0,0.0,8.304,8.304,2073.6,0.0,2073.6,2081.904,2073.6
