,no_of_images,ch_in,dim_in_row,dim_in_column,ch_out,dim_out_row,dim_out_column,filter_row,filter_column,feature_map_memory,filter_coefficient_memory,macs,comp,activation,input_map_bytes,output_map_bytes,fitler_coeff_bytes,input_map_location,output_map_location,fitler_location,input_data_movement*1000000.0,output_data_movement*1000000.0,filter_data_movement*1000000.0,total_data_movement*1000000.0,matrix_compute_time*1000000.0,vector_compute_time*1000000.0,total_compute_time*1000000.0,serial*1000000.0,parallel*1000000.0
resnet_v1_50/block3/unit_2/bottleneck_v1/conv3/,10.0,256.0,14.0,14.0,1024.0,14.0,14.0,1.0,1.0,250880.0,263168.0,51380224.0,50176.0,200704.0,50176.0,200704.0,263168.0,0.0,0.0,1.0,0.0,0.0,26.3168,26.3168,3670.016,0.0,3670.016,3696.3328,3670.016
resnet_v1_50/block3/unit_2/bottleneck_v1/conv3/BiasAdd,10.0,1024.0,14.0,14.0,1024.0,14.0,14.0,0.0,0.0,401408.0,1024.0,0.0,200704.0,200704.0,200704.0,200704.0,1024.0,0.0,0.0,1.0,0.0,0.0,0.1024,0.1024,0.0,0.0,0.0,0.1024,0.1024
resnet_v1_50/block3/unit_2/bottleneck_v1/Relu,10.0,1024.0,14.0,14.0,1024.0,14.0,14.0,0.0,0.0,401408.0,1024.0,0.0,200704.0,200704.0,200704.0,200704.0,1024.0,0.0,0.0,1.0,0.0,0.0,0.1024,0.1024,0.0,0.0,0.0,0.1024,0.1024
resnet_v1_50/block3/unit_3/bottleneck_v1/conv1/,10.0,1024.0,14.0,14.0,256.0,14.0,14.0,1.0,1.0,250880.0,262400.0,51380224.0,200704.0,50176.0,200704.0,50176.0,262400.0,0.0,0.0,1.0,0.0,0.0,26.24,26.24,3670.016,0.0,3670.016,3696.256,3670.016
resnet_v1_50/block3/unit_3/bottleneck_v1/conv1/BiasAdd,10.0,256.0,14.0,14.0,256.0,14.0,14.0,0.0,0.0,100352.0,256.0,0.0,50176.0,50176.0,50176.0,50176.0,256.0,0.0,0.0,1.0,0.0,0.0,0.0256,0.0256,0.0,0.0,0.0,0.0256,0.0256
resnet_v1_50/block3/unit_3/bottleneck_v1/conv1/Relu,10.0,256.0,14.0,14.0,256.0,14.0,14.0,0.0,0.0,100352.0,256.0,0.0,50176.0,50176.0,50176.0,50176.0,256.0,0.0,0.0,1.0,0.0,0.0,0.0256,0.0256,0.0,0.0,0.0,0.0256,0.0256
resnet_v1_50/block3/unit_3/bottleneck_v1/conv2/,10.0,256.0,14.0,14.0,256.0,14.0,14.0,3.0,3.0,100352.0,590080.0,115605500.0,50176.0,50176.0,50176.0,50176.0,590080.0,0.0,0.0,1.0,0.0,0.0,59.008,59.008,8257.536,0.0,8257.536,8316.544,8257.536
resnet_v1_50/block3/unit_3/bottleneck_v1/conv2/BiasAdd,10.0,256.0,14.0,14.0,256.0,14.0,14.0,0.0,0.0,100352.0,256.0,0.0,50176.0,50176.0,50176.0,50176.0,256.0,0.0,0.0,1.0,0.0,0.0,0.0256,0.0256,0.0,0.0,0.0,0.0256,0.0256
resnet_v1_50/block3/unit_3/bottleneck_v1/conv2/Relu,10.0,256.0,14.0,14.0,256.0,14.0,14.0,0.0,0.0,100352.0,256.0,0.0,50176.0,50176.0,50176.0,50176.0,256.0,0.0,0.0,1.0,0.0,0.0,0.0256,0.0256,0.0,0.0,0.0,0.0256,0.0256
resnet_v1_50/block3/unit_3/bottleneck_v1/conv3/,10.0,256.0,14.0,14.0,1024.0,14.0,14.0,1.0,1.0,250880.0,263168.0,51380224.0,50176.0,200704.0,50176.0,200704.0,263168.0,0.0,0.0,1.0,0.0,0.0,26.3168,26.3168,3670.016,0.0,3670.016,3696.3328,3670.016
